user_id,age,gender,weight_kg,height_cm,goal,activity_level,join_date
U000211,49,female,64.7,185.0,weight_loss,light,2023-01-08
U000212,50,female,58.0,162.0,weight_loss,moderate,2023-06-11
U000213,18,female,84.6,179.0,weight_loss,moderate,2023-10-06
U000214,36,female,68.7,182.0,weight_loss,moderate,2023-07-05
U000215,19,female,63.5,179.0,weight_loss,moderate,2023-04-24
U000216,61,male,83.1,155.0,muscle_gain,active,2023-09-13
U000217,43,male,89.9,170.0,muscle_gain,moderate,2023-04-14
U000218,49,male,97.5,157.0,muscle_gain,sedentary,2023-12-01
U000219,23,male,56.0,191.0,muscle_gain,light,2022-08-01
U000220,49,female,83.9,168.0,weight_loss,sedentary,2022-11-28
U000221,21,male,69.7,168.0,maintenance,light,2022-09-10
U000222,28,male,109.5,194.0,maintenance,moderate,2022-11-29
U000223,34,male,63.6,169.0,maintenance,moderate,2023-07-21
U000224,55,female,79.1,177.0,weight_loss,light,2022-07-23
U000225,41,male,108.4,156.0,muscle_gain,light,2023-03-21
U000226,22,male,66.7,182.0,muscle_gain,light,2022-11-07
U000227,51,male,99.4,193.0,weight_loss,light,2023-09-02
U000228,23,female,68.4,165.0,maintenance,light,2023-03-18
U000229,39,male,59.1,181.0,weight_loss,active,2022-08-22
U000230,28,female,57.4,176.0,weight_loss,light,2023-10-09
U000231,33,female,107.2,168.0,weight_loss,active,2022-09-13
U000232,50,male,66.7,171.0,muscle_gain,light,2023-01-16
U000233,26,female,71.1,193.0,muscle_gain,sedentary,2023-07-03
U000234,23,female,108.2,156.0,maintenance,light,2022-09-28
U000235,33,male,91.2,184.0,maintenance,moderate,2023-01-09
U000236,46,female,81.8,183.0,weight_loss,sedentary,2023-03-18
U000237,20,male,78.9,193.0,muscle_gain,light,2023-01-25
U000238,37,male,57.7,174.0,weight_loss,light,2023-08-23
U000239,53,male,101.1,186.0,weight_loss,light,2023-09-15
U000240,36,female,96.9,155.0,muscle_gain,sedentary,2023-05-25
U000241,43,male,60.0,189.0,maintenance,light,2022-11-07
U000242,20,male,74.4,175.0,weight_loss,light,2023-09-11
U000243,36,male,103.7,160.0,weight_loss,light,2023-03-01
U000244,37,female,68.0,173.0,weight_loss,active,2022-08-01
U000245,49,male,88.6,189.0,muscle_gain,light,2022-10-30
U000246,24,female,81.8,170.0,weight_loss,moderate,2022-08-17
U000247,58,female,100.0,167.0,muscle_gain,light,2023-03-06
U000248,50,male,57.0,168.0,weight_loss,moderate,2022-08-19
U000249,57,female,99.9,164.0,weight_loss,moderate,2023-12-02
U000250,56,male,62.5,167.0,muscle_gain,moderate,2023-01-30
U000251,35,female,55.8,186.0,weight_loss,active,2023-06-20
U000252,57,male,87.8,184.0,muscle_gain,light,2023-03-27
U000253,18,male,69.2,160.0,weight_loss,sedentary,2023-11-23
U000254,28,female,94.0,167.0,maintenance,moderate,2023-10-06
U000255,45,male,80.8,172.0,weight_loss,sedentary,2022-08-14
U000256,42,male,88.3,172.0,weight_loss,sedentary,2023-05-31
U000257,40,female,92.9,177.0,maintenance,moderate,2022-09-09
U000258,48,female,106.0,190.0,muscle_gain,light,2022-07-16
U000259,47,female,100.3,,maintenance,light,2022-10-03
U000260,59,female,82.2,160.0,maintenance,sedentary,2022-10-15
U000261,52,female,79.1,170.0,muscle_gain,light,2023-06-28
U000262,24,male,91.0,179.0,weight_loss,active,2023-08-02
U000263,33,male,95.3,166.0,weight_loss,sedentary,2023-11-03
U000264,43,male,64.5,182.0,muscle_gain,moderate,2023-08-01
U000265,19,female,56.8,183.0,muscle_gain,moderate,2022-09-09
U000266,18,female,80.0,181.0,weight_loss,sedentary,2023-02-15
U000267,29,male,60.5,,weight_loss,light,2022-08-05
U000268,22,female,70.0,170.0,maintenance,light,2023-10-23
U000269,54,male,87.2,176.0,maintenance,sedentary,2023-10-20
U000270,49,male,63.3,174.0,weight_loss,light,2022-11-23
U000271,26,female,56.6,187.0,muscle_gain,sedentary,2023-03-29
U000272,58,female,85.5,161.0,muscle_gain,active,2022-10-11
U000273,52,female,80.6,190.0,weight_loss,active,2023-10-28
U000274,36,female,71.8,,maintenance,light,2022-07-20
U000275,33,female,80.8,165.0,muscle_gain,light,2022-11-08
U000276,20,female,92.6,179.0,muscle_gain,sedentary,2023-03-05
U000277,37,male,61.0,187.0,maintenance,active,2022-11-05
U000278,41,female,69.1,174.0,muscle_gain,sedentary,2023-09-29
U000279,50,male,98.7,188.0,weight_loss,sedentary,2023-09-28
U000280,41,male,91.9,179.0,maintenance,moderate,2022-12-30
U000281,28,male,69.6,169.0,maintenance,sedentary,2023-04-03
U000282,25,female,76.9,181.0,muscle_gain,moderate,2022-08-05
U000283,53,male,61.6,187.0,maintenance,light,2023-02-24
U000284,55,female,68.9,185.0,muscle_gain,moderate,2023-09-09
U000285,57,female,101.3,169.0,weight_loss,light,2023-07-20
U000286,37,female,79.2,167.0,maintenance,moderate,2023-03-07
U000287,52,female,90.2,170.0,muscle_gain,light,2022-09-12
U000288,42,female,63.8,184.0,weight_loss,moderate,2023-01-26
U000289,52,male,65.1,171.0,weight_loss,active,2023-04-30
U000290,42,female,106.8,172.0,weight_loss,active,2022-07-27
U000291,46,male,101.3,175.0,maintenance,moderate,2023-08-16
U000292,35,female,98.5,186.0,muscle_gain,light,2022-08-14
U000293,63,female,73.1,166.0,weight_loss,,2023-03-01
U000294,35,female,86.0,155.0,weight_loss,active,2022-11-11
U000295,19,male,82.1,167.0,weight_loss,moderate,2022-11-24
U000296,52,male,107.6,162.0,muscle_gain,moderate,2022-12-14
U000297,33,male,68.2,168.0,weight_loss,light,2023-08-22
U000298,58,male,107.1,170.0,muscle_gain,moderate,2022-12-02
U000299,53,female,93.9,173.0,maintenance,moderate,2023-06-26
U000300,50,female,77.8,164.0,muscle_gain,moderate,2023-05-12
U000301,21,male,69.6,185.0,weight_loss,moderate,2022-07-11
U000302,50,male,96.7,190.0,maintenance,active,2022-12-24
U000303,31,male,100.3,157.0,weight_loss,moderate,2023-01-04
U000304,38,male,74.7,156.0,weight_loss,moderate,2023-05-25
U000305,37,female,64.5,191.0,muscle_gain,sedentary,2023-04-22
U000306,25,female,82.1,172.0,weight_loss,moderate,2022-08-29
U000307,24,female,80.8,168.0,maintenance,sedentary,2023-03-13
U000308,20,male,94.9,,weight_loss,sedentary,2023-04-15
U000309,34,male,108.5,178.0,muscle_gain,moderate,2023-10-02
U000310,50,female,84.2,156.0,weight_loss,moderate,2023-07-29
U000311,29,male,95.2,178.0,weight_loss,light,2023-08-09
U000312,39,male,74.3,168.0,weight_loss,moderate,2023-10-31
U000313,39,male,88.0,155.0,weight_loss,light,2023-06-12
U000314,63,female,61.3,165.0,weight_loss,light,2023-11-22
U000315,47,male,99.8,169.0,weight_loss,light,2023-02-04
U000316,55,female,73.9,162.0,weight_loss,sedentary,2023-02-22
U000317,55,male,59.4,183.0,weight_loss,light,2023-08-07
U000318,62,male,109.5,184.0,weight_loss,active,2023-02-04
U000319,25,female,104.6,179.0,weight_loss,sedentary,2023-08-12
U000320,44,female,65.9,157.0,weight_loss,light,2023-11-29
U000321,44,female,75.0,155.0,maintenance,moderate,2023-10-27
U000322,51,female,106.5,181.0,maintenance,sedentary,2022-12-05
U000323,38,male,98.8,178.0,weight_loss,sedentary,2023-01-13
U000324,47,male,104.9,178.0,maintenance,light,2023-11-02
U000325,50,female,85.9,194.0,weight_loss,light,2023-08-07
U000326,45,female,68.4,157.0,weight_loss,light,2023-10-29
U000327,64,male,67.5,155.0,maintenance,sedentary,2022-08-26
U000328,50,male,83.9,161.0,weight_loss,active,2023-11-16
U000329,22,male,105.8,176.0,weight_loss,light,2022-09-18
U000330,36,female,89.7,165.0,muscle_gain,moderate,2023-06-16
U000331,21,female,56.9,158.0,weight_loss,moderate,2023-10-27
U000332,52,male,85.8,172.0,muscle_gain,active,2023-03-14
U000333,34,female,88.5,165.0,weight_loss,moderate,2023-08-03
U000334,61,male,87.0,187.0,weight_loss,active,2023-07-13
U000335,45,female,93.0,156.0,weight_loss,active,2022-12-25
U000336,47,female,71.1,177.0,muscle_gain,moderate,2023-03-29
U000337,46,male,62.9,179.0,muscle_gain,moderate,2023-08-15
U000338,63,male,96.3,163.0,muscle_gain,moderate,2023-03-01
U000339,23,female,65.8,174.0,muscle_gain,active,2023-09-26
U000340,52,male,61.3,163.0,weight_loss,moderate,2022-11-27
U000341,58,female,74.8,169.0,maintenance,active,2022-08-11
U000342,54,male,100.8,188.0,weight_loss,active,2022-09-07
U000343,41,male,59.5,169.0,muscle_gain,moderate,2023-02-13
U000344,46,female,65.8,187.0,weight_loss,light,2023-02-10
U000345,63,male,81.1,176.0,maintenance,moderate,2023-04-04
U000346,48,female,70.8,190.0,weight_loss,active,2023-07-31
U000347,52,female,94.7,167.0,weight_loss,sedentary,2022-10-27
U000348,50,female,92.1,,muscle_gain,active,2023-04-04
U000349,38,female,101.3,,muscle_gain,active,2022-10-15
U000350,49,male,66.2,187.0,maintenance,sedentary,2023-05-08
U000351,40,female,90.7,157.0,muscle_gain,,2023-08-27
U000352,50,female,97.6,161.0,maintenance,active,2023-10-15
U000353,20,female,58.4,194.0,maintenance,moderate,2023-10-14
U000354,35,male,57.0,159.0,maintenance,light,2022-12-30
U000355,42,female,85.8,180.0,muscle_gain,active,2023-04-26
U000356,59,female,87.3,191.0,maintenance,sedentary,2023-06-04
U000357,48,male,76.6,156.0,weight_loss,sedentary,2023-04-30
U000358,20,female,57.0,155.0,maintenance,moderate,2023-05-06
U000359,57,female,77.1,158.0,weight_loss,light,2023-04-07
U000360,63,male,90.3,182.0,weight_loss,active,2022-09-16
U000361,41,female,93.6,164.0,muscle_gain,light,2022-11-24
U000362,49,female,82.1,169.0,maintenance,sedentary,2023-11-05
U000363,64,male,83.9,172.0,muscle_gain,,2022-12-23
U000364,39,male,92.0,193.0,weight_loss,sedentary,2023-01-02
U000365,40,male,79.7,166.0,muscle_gain,moderate,2022-07-17
U000366,19,female,69.5,162.0,maintenance,light,2023-01-06
U000367,44,female,67.3,155.0,weight_loss,moderate,2023-10-13
U000368,59,male,96.4,189.0,weight_loss,light,2023-11-01
U000369,19,female,81.8,160.0,muscle_gain,light,2023-05-10
U000370,43,male,89.3,170.0,muscle_gain,sedentary,2022-11-25
U000371,34,female,80.9,175.0,weight_loss,light,2023-06-12
U000372,57,male,100.0,167.0,weight_loss,sedentary,2022-10-19
U000373,50,male,82.3,160.0,weight_loss,light,2022-09-17
U000374,26,male,109.3,193.0,weight_loss,sedentary,2023-10-08
U000375,60,female,68.3,183.0,muscle_gain,light,2023-07-28
U000376,56,male,62.6,156.0,muscle_gain,active,2023-08-26
U000377,46,male,75.5,158.0,weight_loss,sedentary,2023-08-27
U000378,59,female,105.5,174.0,maintenance,,2023-03-03
U000379,43,male,101.9,162.0,muscle_gain,active,2023-04-17
U000380,52,female,68.6,156.0,muscle_gain,sedentary,2023-09-22
U000381,42,male,88.0,158.0,weight_loss,light,2023-04-30
U000382,41,male,87.4,193.0,weight_loss,active,2023-08-31
U000383,30,male,71.1,172.0,muscle_gain,moderate,2023-07-13
U000384,24,male,67.9,187.0,muscle_gain,moderate,2023-04-10
U000385,53,male,76.5,164.0,muscle_gain,light,2023-07-28
U000386,62,male,98.4,193.0,muscle_gain,moderate,2022-09-11
U000387,37,male,65.5,172.0,weight_loss,moderate,2022-08-17
U000388,18,female,79.5,173.0,weight_loss,moderate,2023-10-25
U000389,25,male,81.5,185.0,muscle_gain,light,2023-04-20
U000390,63,female,106.7,169.0,weight_loss,sedentary,2022-10-15
U000391,33,female,71.7,193.0,maintenance,moderate,2022-09-17
U000392,31,female,56.1,188.0,muscle_gain,light,2022-09-20
U000393,29,female,93.2,174.0,weight_loss,active,2023-02-24
U000394,40,female,96.6,186.0,maintenance,light,2023-10-13
U000395,32,female,93.7,182.0,maintenance,sedentary,2023-11-07
U000396,45,male,93.5,180.0,weight_loss,light,2023-01-03
U000397,51,male,81.6,193.0,muscle_gain,moderate,2023-03-01
U000398,19,male,56.0,192.0,maintenance,active,2022-09-30
U000399,49,male,95.1,172.0,maintenance,light,2023-11-25
U000400,40,male,106.5,165.0,muscle_gain,sedentary,2022-07-24
U000401,39,female,63.7,164.0,muscle_gain,sedentary,2023-10-16
U000402,42,female,58.7,156.0,weight_loss,light,2022-08-15
U000403,39,female,69.6,189.0,muscle_gain,moderate,2022-11-12
U000404,39,male,101.7,187.0,weight_loss,moderate,2022-09-24
U000405,59,male,60.8,168.0,maintenance,sedentary,2023-08-03
U000406,23,male,94.3,163.0,muscle_gain,light,2023-09-08
U000407,32,male,58.5,161.0,maintenance,sedentary,2023-05-08
U000408,60,female,56.8,177.0,muscle_gain,active,2023-03-29
U000409,54,female,104.0,161.0,weight_loss,sedentary,2023-03-31
U000410,50,male,97.4,155.0,weight_loss,moderate,2023-08-15
U000411,25,female,87.9,174.0,weight_loss,light,2022-09-16
U000412,61,male,64.5,194.0,muscle_gain,light,2023-05-11
U000413,61,male,70.3,189.0,maintenance,active,2022-08-27
U000414,22,male,57.7,192.0,weight_loss,moderate,2023-11-02
U000415,56,female,90.5,162.0,weight_loss,light,2023-09-09
U000416,21,female,92.7,185.0,muscle_gain,light,2023-05-22
U000417,23,female,73.0,173.0,muscle_gain,light,2023-12-01
U000418,62,male,73.6,159.0,muscle_gain,moderate,2022-07-16
U000419,49,male,89.6,188.0,maintenance,moderate,2023-05-17
U000420,47,male,107.0,170.0,weight_loss,moderate,2023-07-20
U000421,64,female,76.7,161.0,maintenance,active,2022-08-15
U000422,52,male,82.1,175.0,weight_loss,light,2022-10-27
U000423,57,male,93.4,179.0,muscle_gain,moderate,2022-10-27
U000424,33,female,73.8,,muscle_gain,light,2023-04-14
U000425,30,male,102.8,162.0,weight_loss,active,2023-07-09
U000426,59,female,101.5,173.0,muscle_gain,sedentary,2023-04-30
U000427,47,female,92.1,191.0,weight_loss,light,2022-12-11
U000428,36,male,84.5,173.0,weight_loss,active,2022-07-30
U000429,34,male,109.1,155.0,weight_loss,active,2022-11-23
U000430,36,male,93.6,182.0,weight_loss,sedentary,2022-07-11
U000431,45,male,90.4,194.0,maintenance,moderate,2022-10-27
U000432,43,female,103.2,168.0,weight_loss,moderate,2023-02-21
